nome;citta;paese;anno;superficie_mq;tipologia;problema;interventi;costo_milioni;finanziamento;benefici_sociali;benefici_economici;sostenibilita
High Line Park;New York;USA;2009;21000;parco lineare;Ferrovia abbandonata;spazi verdi, percorsi pedonali, arte pubblica;153;fondi pubblici + donazioni;incremento turismo, migliore qualità della vita;+30% valore immobili, +5M visitatori/anno;materiali riciclati, irrigazione a basso consumo
Parco della Rinascita;Milano;Italia;2023;25000;parco urbano;Area dismessa inutilizzata;spazi verdi, percorsi pedonali, aree gioco;50;Fondi PNRR + privati;aumento verde pubblico, maggior sicurezza;+15% valore immobiliare, +10% attività locali;materiali riciclati, illuminazione LED
Riqualificazione Lungomare;Napoli;Italia;2022;30000;riqualificazione costiera;Deterioramento infrastrutturale;nuova pavimentazione, aree verdi, spazi eventi;80;Fondi PNRR + regionali;miglioramento qualità urbana, nuovi spazi ricreativi;+20% flusso turistico, +25% crescita economica;riduzione consumo energetico, uso materiali sostenibili
Plaza Digital;Madrid;Spagna;2021;8000;piazza smart;Spazio urbano sottoutilizzato;Wi-Fi pubblico, arredo interattivo, spazi eventi;15;fondi nazionali + tech companies;inclusione digitale, aggregazione sociale;+22% attività commerciali, +18% visitatori;energia solare, materiali riciclati
Eco-Quartier;Parigi;Francia;2018;35000;quartiere sostenibile;Area industriale dismessa;edifici passivi, orti urbani, mobilità dolce;120;fondi statali + privati;comunità sostenibile, qualità abitativa;-30% consumi energetici, +20% valore immobiliare;edifici a energia quasi zero, gestione acque piovane
La Friche Belle de Mai;Marsiglia;Francia;2013;45000;hub culturale;Ex fabbrica tabacchi;spazi artistici, coworking, giardini comunitari;75;fondi regionali + europei;integrazione sociale, sviluppo culturale;+300 posti lavoro, +100K visitatori/anno;recupero edifici esistenti, materiali locali
Tempelhof Park;Berlino;Germania;2010;355000;parco urbano;Aeroporto dismesso;spazi verdi, aree sport, orti urbani;125;fondi federali + comunali;spazio ricreativo, integrazione sociale;+2M visitatori/anno, risparmio sanitario;conservazione biodiversità, mobilità sostenibile
HafenCity;Amburgo;Germania;2017;157000;waterfront urbano;Porto industriale obsoleto;mix residenziale-commerciale, spazi pubblici;3200;pubblico-privato;nuovi alloggi, spazi culturali;+40K posti lavoro, +15% turismo;edifici certificati sostenibili, protezione inondazioni
Spikeri Quarter;Riga;Lettonia;2019;18000;rigenerazione urbana;Magazzini portuali abbandonati;spazi creativi, mercati, aree eventi;40;fondi UE + privati;rivitalizzazione culturale, inclusione sociale;+25% turismo, +15% nuove imprese;recupero edifici storici, illuminazione LED
Baltic Tech Hub;Liepaja;Lettonia;2022;12000;centro innovazione;Caserma militare abbandonata;spazi formazione tech, incubatore startup, laboratori;25;fondi europei + università;formazione professionale, innovazione;+150 nuovi posti lavoro, +10% PIL locale;riscaldamento geotermico, materiali riciclati
EcoCity;Kiev;Ucraina;2020;42000;quartiere resiliente;Area post-industriale;edifici autosufficienti, spazi verdi, hub energia;110;fondi internazionali + privati;resilienza climatica, qualità abitativa;-40% costi energetici, +30% valore immobiliare;edifici passivi, sistema energetico distribuito
Freedom Square;Kharkiv;Ucraina;2023;25000;piazza pubblica;Spazio urbano degradato;spazi eventi, memorialistica, aree verde;65;donazioni internazionali + fondi ricostruzione;coesione sociale, memoria collettiva;+30% turismo, +20% commercio locale;illuminazione solare, materiali locali
Eco-District;Lviv;Ucraina;2024;30000;quartiere ecologico;Ex area militare;housing sociale, spazi comunitari, aree verdi;85;fondi ricostruzione UE + privati;alloggi sostenibili, comunità resiliente;-35% consumi energetici, +200 posti lavoro;tecnologie passive, orti urbani comunitari
Zhongshan Shipyard Park;Guangzhou;Cina;2016;110000;parco industriale;Cantiere navale abbandonato;percorsi storici, spazi d'acqua, aree culturali;180;fondi governativi;memoria industriale, qualità della vita;+3M visitatori/anno, +25% valore immobiliare;conservazione edifici storici, fitodepurazione
Smart Block;Shanghai;Cina;2022;20000;isolato intelligente;Quartiere obsoleto ad alta densità;tecnologie smart building, spazi condivisi;150;fondi statali + tech companies;efficienza abitativa, connettività sociale;-25% consumi, +15% produttività lavorativa;reti smart grid, materiali sostenibili
The Bentway;Toronto;Canada;2018;10000;spazio pubblico;Aree sotto-cavalcavia inutilizzate;spazi eventi, pista ghiaccio, arte pubblica;25;fondi comunali + donazioni;inclusione sociale, attività ricreative;+250K visitatori/anno, +15% attività commerciali;raccolta acqua piovana, materiali riciclati
False Creek;Vancouver;Canada;2020;47000;riqualificazione portuale;Zona industriale dismessa;mix residenziale-servizi, waterfront pubblico;320;pubblico-privato;alloggi sostenibili, spazi inclusivi;+2500 nuovi residenti, +30% turismo;edifici passivi, mobilità sostenibile
Lima Art District;Lima;Perù;2019;25000;quartiere artistico;Zone degradate centrali;murales, gallerie, spazi performativi;30;fondi municipali + culturali;rigenerazione sociale, offerta culturale;+40% turismo, +150 nuovi impieghi;riuso adattivo edifici, materiali locali
Lisbon Waterfront;Lisbona;Portogallo;2017;45000;fronte fiume;Aree portuali dismesse;passeggiata, spazi culturali, hub gastronomici;120;fondi UE + comunali;accessibilità waterfront, spazi inclusivi;+40% turismo, +25% attività commerciali;materiali sostenibili, recupero edifici storici
Azulejos District;Porto;Portogallo;2021;15000;quartiere creativo;Edifici storici abbandonati;recupero facciate azulejos, spazi creativi, residenze artisti;35;fondi cultura + privati;preservazione patrimonio, creatività urbana;+30% visitatori, +15% residenti giovani;restauro conservativo, efficienza energetica
Green City;Lagos;Nigeria;2023;65000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;110;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-40% danni climatici, +25% valore immobiliare;materiali locali, sistemi passivi
Medina Revival;Marrakech;Marocco;2019;25000;recupero centro storico;Degrado edifici storici;restauro monumenti, spazi pubblici, artigianato locale;70;fondi UNESCO + turismo;conservazione patrimonio, vivibilità;+35% turismo culturale, +200 artigiani attivi;tecniche tradizionali, materiali locali
Eco-Harbor;Tangeri;Marocco;2022;40000;porto sostenibile;Impatto ambientale portuale;energie rinnovabili, filtrazione acque, spazi pubblici;120;fondi mediterranei + privati;qualità ambientale, nuovi spazi urbani;+30% efficienza portuale, -25% inquinamento;gestione circolare risorse, energia rinnovabile
Athens Anew;Atene;Grecia;2020;22000;riqualificazione urbana;Edifici abbandonati post-crisi;cohousing, spazi comunitari, microimprese;50;fondi UE + privati;alloggi accessibili, inclusione sociale;+15% residenti giovani, +20% microimprese;retrofit energetico, materiali riciclati
Skadarlija Revival;Belgrado;Serbia;2018;15000;quartiere culturale;Degrado centro storico;restauro edifici, spazi artistici, gastronomia locale;40;fondi nazionali + UNESCO;conservazione patrimonio, vivibilità;+50% turismo culturale, +35% attività artistiche;restauro conservativo, efficienza energetica
Tango District;Buenos Aires;Argentina;2022;15000;quartiere culturale;Degrado urbano;spazi performativi, scuole danza, hub creativi;30;fondi cultura + privati;conservazione tradizioni, inclusione sociale;+40% turismo culturale, +25% attività artistiche;retrofit energetico, materiali locali
Sucre Revival;La Paz;Bolivia;2020;15000;quartiere coloniale;Degrado centro storico;restauro edifici, spazi pubblici, formazione artigiani;35;fondi UNESCO + municipali;conservazione patrimonio, capacità artigianali;+40% turismo culturale, +100 artigiani formati;tecniche tradizionali, materiali locali
Valletta Waterfront;Valletta;Malta;2020;12000;fronte mare;Degrado portuale;restauro edifici storici, spazi pubblici, hub culturali;30;fondi UE + privati;accessibilità waterfront, offerta culturale;+35% turismo, +25% attività commerciali;restauro sostenibile, efficienza energetica
Habana Vieja 2.0;L'Avana;Cuba;2021;20000;centro storico;Degrado edifici patrimonio;restauro adattivo, spazi comunitari, hub artistici;35;fondi UNESCO + cooperazione;conservazione patrimonio, inclusione sociale;+30% turismo, +150 artigiani attivi;tecniche tradizionali, materiali locali
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali
Green Oasis;Nairobi;Kenya;2025;30000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;20;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Revive Dhaka;Dhaka;Bangladesh;2024;15000;quartiere residenziale;Edifici abbandonati post-inondazioni;housing sociale, spazi comunitari, aree verdi;35;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Slum Upgrade;Lagos;Nigeria;2025;50000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;110;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-40% danni climatici, +25% valore immobiliare;materiali locali, sistemi passivi
Heritage Revival;Kathmandu;Nepal;2024;10000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;25;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+20% turismo, +10% attività artigianali;tecniche tradizionali, materiali locali
Urban Green;Lusaka;Zambia;2025;20000;parco urbano;Terreno industriale abbandonato;spazi verdi, aree gioco, percorsi ciclabili;15;fondi africani sviluppo + comunali;miglioramento qualità della vita, spazi ricreativi;+5% valore immobiliare, +3% attività locali;materiali riciclati, illuminazione solare
Revitalize Kigali;Kigali;Ruanda;2024;25000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;40;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+20% residenti, +15% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Park;Addis Abeba;Etiopia;2025;35000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;25;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Historic Revival;Yangon;Myanmar;2024;12000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;30;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+25% turismo, +15% attività artigianali;tecniche tradizionali, materiali locali
Green Hub;Kampala;Uganda;2025;18000;quartiere sostenibile;Terreno industriale abbandonato;housing sostenibile, spazi verdi, hub comunitari;22;fondi africani sviluppo + privati;alloggi sicuri, inclusione sociale;+10% valore immobiliare, +8% attività commerciali;materiali locali, tecniche di costruzione resilienti
Revive Monrovia;Monrovia;Liberia;2024;15000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;28;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-District;Maputo;Mozambico;2025;30000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;45;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-35% danni climatici, +20% valore immobiliare;materiali locali, sistemi passivi
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali
Green Oasis;Phnom Penh;Cambogia;2025;20000;parco urbano;Terreno industriale abbandonato;spazi verdi, aree gioco, percorsi ciclabili;18;fondi asiatici sviluppo + comunali;miglioramento qualità della vita, spazi ricreativi;+5% valore immobiliare, +3% attività locali;materiali riciclati, illuminazione solare
Revitalize Port-au-Prince;Port-au-Prince;Haiti;2024;15000;quartiere residenziale;Edifici abbandonati post-terremoto;housing sociale, spazi comunitari, aree verdi;30;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Park;Dar es Salaam;Tanzania;2025;25000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;22;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Historic Revival;Luang Prabang;Laos;2024;10000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;20;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+20% turismo, +10% attività artigianali;tecniche tradizionali, materiali locali
Green Hub;Kigali;Ruanda;2025;18000;quartiere sostenibile;Terreno industriale abbandonato;housing sostenibile, spazi verdi, hub comunitari;25;fondi africani sviluppo + privati;alloggi sicuri, inclusione sociale;+10% valore immobiliare, +8% attività commerciali;materiali locali, tecniche di costruzione resilienti
Revive Monrovia;Monrovia;Liberia;2024;15000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;28;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-District;Maputo;Mozambico;2025;30000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;45;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-35% danni climatici, +20% valore immobiliare;materiali locali, sistemi passivi
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali